Processed 10000
Processed 20000
Processed 30000
Processed 40000
Processed 50000
Processed 60000
Processed 70000
Processed 80000
Processed 90000
Processed 100000
Processed 110000
Processed 120000
Processed 130000
Processed 140000
Processed 150000
Processed 160000
Processed 170000
Processed 180000
Processed 190000

Finished processing.

===== Flow Statistics =====
Total packets: 191685
Lost segments: 498

===== MLT Summary =====
Total MLT samples: 15851
1772359234.248293 | ('121.194.11.75', 443, '183.172.73.211', 53911) | type=b2b | MLT=0.00011
1772359234.249101 | ('121.194.11.75', 443, '183.172.73.211', 53911) | type=b2b | MLT=4.9e-05
1772359234.24911 | ('121.194.11.75', 443, '183.172.73.211', 53911) | type=b2b | MLT=5.2e-05
1772359234.253071 | ('183.172.73.211', 54482, '170.178.162.203', 50443) | type=data | MLT=0.24628
1772359234.277279 | ('121.194.11.75', 443, '183.172.73.211', 53911) | type=b2b | MLT=0.00016
1772359234.277353 | ('121.194.11.75', 443, '183.172.73.211', 53911) | type=b2b | MLT=0.000229
1772359234.281142 | ('121.194.11.75', 443, '183.172.73.211', 53911) | type=b2b | MLT=6.2e-05
1772359234.281166 | ('121.194.11.75', 443, '183.172.73.211', 53911) | type=b2b | MLT=8.3e-05
1772359234.307418 | ('121.194.11.75', 443, '183.172.73.211', 53911) | type=b2b | MLT=0.00012
1772359234.307459 | ('121.194.11.75', 443, '183.172.73.211', 53911) | type=b2b | MLT=0.000153
1772359234.309005 | ('121.194.11.75', 443, '183.172.73.211', 53911) | type=data | MLT=5.6e-05
1772359234.310638 | ('121.194.11.75', 443, '183.172.73.211', 53911) | type=b2b | MLT=4e-05
1772359234.336577 | ('121.194.11.75', 443, '183.172.73.211', 53911) | type=b2b | MLT=0.000135
1772359234.336736 | ('170.178.162.203', 50443, '183.172.73.211', 51558) | type=data | MLT=0.000301
1772359234.336965 | ('121.194.11.75', 443, '183.172.73.211', 53911) | type=b2b | MLT=0.00051
1772359234.442407 | ('183.172.73.211', 51988, '121.194.11.70', 443) | type=data | MLT=0.004795
1772359234.445594 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=9.2e-05
1772359234.446416 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=0.000101
1772359234.446443 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=0.000109
1772359234.446884 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=8.4e-05
1772359234.446906 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=0.000101
1772359234.447926 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=2.3e-05
1772359234.447934 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=data | MLT=3e-05
1772359234.449754 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=9.3e-05
1772359234.44979 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=0.00011
1772359234.449802 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=0.00012
1772359234.452226 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=9.3e-05
1772359234.452261 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=0.000112
1772359234.452275 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=0.000123
1772359234.452828 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=4.4e-05
1772359234.454521 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=9e-05
1772359234.454552 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=0.000103
1772359234.455002 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=0.000549
1772359234.455185 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=0.000182
1772359234.457603 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=0.000431
1772359234.458501 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=0.000384
1772359234.461176 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=0.000515
1772359234.464393 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=0.000678
1772359234.464853 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=0.000104
1772359234.467415 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=0.000185
1772359234.470004 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=0.000189
1772359234.470587 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=0.000168
1772359234.47272 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=0.000198
1772359234.526327 | ('183.172.73.211', 51558, '170.178.162.203', 50443) | type=data | MLT=0.188648
1772359234.825691 | ('183.172.73.211', 51464, '170.178.162.203', 50443) | type=data | MLT=0.189233
1772359234.880284 | ('170.178.162.203', 50443, '183.172.73.211', 51464) | type=data | MLT=0.000197
1772359235.445081 | ('183.172.73.211', 51988, '121.194.11.70', 443) | type=data | MLT=0.012074
1772359235.445388 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=0.000266
1772359235.445463 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=data | MLT=0.000338
1772359235.448639 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=0.000174
1772359235.448683 | ('121.194.11.70', 443, '183.172.73.211', 51988) | type=b2b | MLT=0.000192
